Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"January 1, 2026 - March 20, 2026"
Statement,Data,WhenGenerated,"2026-03-21, 07:18:22 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,0.0
Summary,Data,Change,488092.3059
Summary,Data,Ending Cash,488092.3059
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2026-02-17,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,125.0,-,125.0
Transaction History,Data,2026-02-16,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,-961.5375000000001,-,-961.5375000000001
Transaction History,Data,2026-02-13,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,-1875.0,-,-1875.0
Transaction History,Data,2026-02-13,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,415.86999999999995,-,415.86999999999995
Transaction History,Data,2026-02-12,DUO116877,CC JUN26 4000 C,Sell,COM6 C4000,-20.0,241.0,USD,48200.0,-59.4,48140.6
Transaction History,Data,2026-02-12,DUO116877,FCPO.MY 15APR26,Sell,FCPOJ6,-2.0,4035.0,MYR,51698.43749999999(1),-3.1365,-28.761499999999995
Transaction History,Data,2026-02-12,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,-1537.4999999999998,-,-1537.4999999999998
Transaction History,Data,2026-02-12,DUO116877,FCPO.MY 15APR26,Sell,FCPOJ6,-3.0,4035.0,MYR,77547.65625(1),-4.70475,-43.14225
Transaction History,Data,2026-02-12,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,6375.0,-,6375.0
Transaction History,Data,2026-02-11,DUO116877,System Transfer to DUO116877C,Withdrawal,-,-,-,-,-505033.91,-,-505033.91
Transaction History,Data,2026-02-11,DUO116877,System Transfer from DUO116877,Deposit,-,-,-,-,505033.91,-,505033.91
Transaction History,Data,2026-02-11,DUO116877,SI JUN26 86 C,Buy,SOM6 C8600,1.0,12.377,USD,-61885.0,-2.52,-61887.52
Transaction History,Data,2026-02-11,DUO116877,SI JUN26 80 P,Buy,SOM6 P8000,1.0,9.463,USD,-47315.0,-2.52,-47317.52
Transaction History,Data,2026-02-11,DUO116877,PA 28APR26,Sell,PAJ6,-1.0,1748.5,USD,174850.0(1),-2.47,-52.47
Transaction History,Data,2026-02-11,DUO116877,PA 28APR26,Sell,PAJ6,-1.0,1748.5,USD,174850.0(1),-2.47,-52.47
